publishedAt;authorDisplayName;text;likeCount
2023-05-11T04:11:55Z;mujiati cantik;jaga wibawanya  pak gp  jgn cengar cengir ;0
2023-05-11T04:05:47Z;Reza Rizal Ys;aku pilih rakyat biasa aja yaitu anies baswedan yg pro rakyat bukan petugas partai  ;0
2023-05-11T01:22:44Z;NINIEN S;hindari jauh penggemar video;0
2023-05-11T01:19:30Z;Nasrun SMD;bagi saya cuman ada calon ofsi yang bisa di pilih  pak prabowo dan pak ganjar ;0
2023-05-11T00:00:41Z;Zaen Arif;konten pkokkkkkk;0
2023-05-10T23:32:22Z;Ama agus Kudrotilah;wajah koruptor mnyesakan dada   kalo mbunuh di bolehkan     akan koruptor diduluin    ;0
2023-05-10T23:28:28Z;Ama agus Kudrotilah;kasihan lambang islam dukung ci porno yg tiada akhlaq tiada adab  otax cabul mau djadikan pmimpin   parah negeri ini akan jadi negri binatang   gada morall   gantung koruptr;0
2023-05-10T22:25:41Z;Bbg Susilo;setuju banget;0
2023-05-10T20:05:26Z;Eko Waluyo; pun oke  spy lebih fokus nantinya  br ingin perubahan yg hakiki lebih baik ;0
2023-05-10T15:34:31Z;Prof. Dr. dr. H SUGIONO;saya pilih saya;0
2023-05-10T14:08:07Z;Mulyadi Idrus;salam damai semoga dpt yg trrbaik;1
2023-05-10T13:17:48Z;Ari Torong;  klo lolos     ;0
2023-05-10T12:38:29Z;Hasyim Dul; capres  capres yg bertarung cuma  capres anis  dan ganjar;0
2023-05-10T12:34:52Z;Silvia Seprina;saya pilihan bangsa indonesia;0
2023-05-10T11:22:38Z;Bulan Sabit;untuk kebaikan bangsa yang kedepannya ada potensi untuk perang  saya pilih prabowo beliau punya relasi banyak  dan tentara bakal jaya;0
2023-05-10T11:20:03Z;Rajawali'88;kami rakyat jawa tengah tidak akan mau pilih ganjar dan atau partai pengusungnya   karena kami rakyat jawa tengah sdh merasakan dipimpin ganjar spt apa  jawa tengah malah jd daerah tertinggal   kl indonesia dipimpin ganjar  bisa indonesia levelnya dibawah timoer leste         ;0
2023-05-10T09:47:00Z;Aswin Yuniar;pak  anies  pilihanku;0
2023-05-10T07:09:09Z;M.rabiul Fazry;ridwan kamil ada tidak si;0
